Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 2 (Backtesting [5d]);eb0338b7;0,1045;7,98;9,7056;0,4407;0,4407;0,4408;0,3373;0,8393;0,6134
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 2 (Backtesting [5d]);bc80aafb;0,263;7,3859;8,8047;0,3898;0,4;0,3897;0,4296;0,7484;0,605
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 135 (Backtesting [5d]);84b39f3c;-0,1416;8,5326;10,9582;0,4746;0,4918;0,4741;0,2093;0,9139;0,5969
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 5 (Backtesting [5d]);dcdff047;0,3036;7,2683;8,5586;0,3729;0,3273;0,3741;0,4537;0,6833;0,58
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 45 (Backtesting [5d]);8cecf9e7;-0,4762;10,7508;12,4613;0,4915;0,5;0,4914;0,0285;0,9411;0,5304
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 45 (Backtesting [5d]);2a0c5ebc;-0,2159;9,9266;11,3092;0,4237;0,4516;0,423;0,1565;0,8234;0,5233
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 5 (Backtesting [5d]);cdc9f652;0,106;8,7202;9,6973;0,339;0,2909;0,3402;0,3264;0,6172;0,4864
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 6 (Backtesting [5d]);7c66faff;-1,2834;12,4793;15,498;0,5932;0,6129;0,5925;-0,3413;1,1412;0,4741
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 56 (Backtesting [5d]);05e45b6b;-0,9874;12,0024;14,4589;0,5254;0,5333;0,5253;-0,2091;1,0053;0,4588
LSTMv3.4 (40,[192, 128],0.05,96,0.00098) (YeoJohnson) (Standard) + 6 (Backtesting [5d]);0adb24f8;-9,4111;26,9719;33,0928;0,4746;0,4364;0,4759;-3,7814;0,8815;-1,2168
