Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (YeoJohnson) + 145;4b926da1;0,7965;4,188;4,6267;0,8983;0,8966;0,8989;0,9185;1,71;1,3538
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 2345;9e5bb316;0,7169;4,858;5,4568;0,9483;0,9508;0,9476;0,7996;1,807;1,3537
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 12346;fa1f1b27;0,723;5,0729;5,3971;0,9483;0,9508;0,9476;0,7956;1,807;1,3519
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 1234;66792ae9;0,7173;5,1228;5,4532;0,9483;0,9508;0,9476;0,7882;1,807;1,3486
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 124;5a62c59e;0,6852;5,4456;5,7543;0,9655;0,9677;0,9643;0,7477;1,8393;1,3481
SARIMAXv2.4 (0, 1, 2)(1, 0, 1, 5) (YeoJohnson) (MinMax) + 14;95322908;0,7637;4,4452;4,9855;0,9153;0,9123;0,9161;0,8662;1,7418;1,3477
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) + 123456;d4c4f1b4;0,7105;5,1518;5,5181;0,9483;0,9508;0,9476;0,781;1,807;1,3453
SARIMAXv2.4 (2, 0, 2)(0, 0, 0, 5) (RetLog) (MinMax) + 13456;a03da552;0,8384;3,6355;4,1224;0,8448;0,8475;0,8452;1,0158;1,6108;1,343
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 1236;e69e7772;0,7323;4,9219;5,3063;0,931;0,9355;0,9298;0,8109;1,7749;1,3411
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 126;34cdf373;0,696;5,1227;5,6541;0,9483;0,9524;0,9464;0,7696;1,8072;1,3403
SARIMAXv2.4 (0, 0, 1)(0, 0, 0, 5) (RetLog) (MinMax) + 3456;717531a6;0,7865;3,4497;4,7389;0,8621;0,875;0,8595;0,9626;1,6479;1,3395
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) + 12345;b6509a76;0,6983;5,2557;5,633;0,9483;0,9508;0,9476;0,7661;1,807;1,3386
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 123;891cc8f2;0,7255;4,9781;5,3729;0,931;0,9355;0,9298;0,802;1,7749;1,3371
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 245;917facb1;0,6789;5,2111;5,8116;0,9483;0,9524;0,9464;0,7516;1,8072;1,3322
SARIMAXv2.4 (1, 0, 1)(0, 0, 0, 5) (RetLog) + 12;b7fdd087;0,6793;5,2427;5,8073;0,9483;0,9524;0,9464;0,7507;1,8072;1,3318
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) + 12456;c8bd3e9c;0,7163;5,1534;5,4621;0,931;0,9355;0,9298;0,7861;1,7749;1,33
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 2456;d068813d;0,6954;5,0819;5,66;0,931;0,9355;0,9298;0,7708;1,7749;1,3231
SARIMAXv2.4 (3, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 24;d4c22912;0,6233;5,7386;6,2942;0,9655;0,9677;0,9643;0,6893;1,8393;1,3218
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) + 1245;9b8b390c;0,6987;5,3022;5,6291;0,931;0,9355;0,9298;0,7646;1,7749;1,3203
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 1246;7e150fdd;0,698;5,3413;5,6356;0,931;0,9355;0,9298;0,7625;1,7749;1,3193
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 123456;fce5a189;0,6573;5,6124;6,0037;0,9483;0,9508;0,9476;0,7193;1,807;1,3175
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 346;2945d3ed;0,8288;3,0717;4,2434;0,7931;0,8235;0,7881;1,0567;1,5256;1,3146
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 12456;bbc8db50;0,6821;5,4528;5,7822;0,931;0,9355;0,9298;0,7449;1,7749;1,3114
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 12345;1d336504;0,644;5,7159;6,1191;0,9483;0,9508;0,9476;0,7055;1,807;1,3113
