Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 4;fc122c09;0,1439;7,9315;9,4896;0,5254;0,5625;0,5241;0,3579;1,0222;0,7233
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 34;985d7f4e;-0,0823;9,2569;10,6698;0,5763;0,6269;0,5741;0,2274;1,1267;0,722
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 45;2a0c5ebc;-0,7052;11,883;13,3928;0,7119;0,7385;0,7103;-0,0838;1,3708;0,7162
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 46;330fe671;0,258;7,612;8,8348;0,4915;0,5161;0,4908;0,4225;0,9505;0,7129
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 235;5a6d6bcf;-0,7735;12,5812;13,6584;0,7119;0,7385;0,7103;-0,1192;1,3708;0,7003
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 23456;58a74196;-0,4321;10,6716;12,2738;0,6271;0,6765;0,6247;0,0493;1,2226;0,6946
LSTMv3.4 (10,[96],0.05,64,0.00042) (Log) (Standard) + 1356;391daad1;-0,1693;8,1185;11,0903;0,5593;0,6061;0,5575;0,2029;1,0923;0,6921
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 4;6c2d9ca7;0,0235;8,4963;10,1351;0,5254;0,5484;0,5247;0,289;1,0141;0,6878
LSTMv3.4 (10,[192, 96],0.25,96,0.00349) (YeoJohnson) (Standard) + 36;08edef27;0,3151;7,1618;8,4877;0,4576;0,4483;0,458;0,4621;0,8661;0,6843
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 456;9d8183ce;0,0279;8,5742;10,1123;0,5085;0,5397;0,5075;0,29;0,9866;0,6731
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 23;40be8fb6;-1,246;13,4108;15,3706;0,6949;0,7353;0,6925;-0,3312;1,3463;0,5914
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 2345;8fbc5e48;-1,1323;13,9392;14,9766;0,6271;0,6857;0,6241;-0,285;1,2278;0,5471
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 1245;bb23b6ab;-1,6582;15,6796;16,7217;0,7119;0,7385;0,7103;-0,5205;1,3708;0,5197
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 12346;0d4aedef;-1,2701;14,1834;15,4529;0,6271;0,6857;0,6241;-0,3461;1,2278;0,5196
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 2456;68d3e6e8;-1,747;16,1668;16,9986;0,7119;0,7463;0,7098;-0,5606;1,3752;0,5041
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 2345;ac750c7a;-1,2989;14,419;15,5506;0,6102;0,6761;0,6069;-0,3599;1,1998;0,498
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 45;8cecf9e7;-1,7106;15,2341;16,8857;0,6949;0,7097;0,6943;-0,5409;1,3319;0,4892
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 2456;5933e4ee;-2,1641;17,5429;18,2438;0,7458;0,7619;0,7448;-0,7435;1,4294;0,4516
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 1234;9292262c;-2,0349;17,2334;17,8674;0,7119;0,7385;0,7103;-0,6875;1,3708;0,4446
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 6;7c66faff;-0,7381;10,7437;13,5214;0,4407;0,459;0,4402;-0,0886;0,85;0,4276
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 245;ec0a4399;-2,2099;17,6267;18,3753;0,7288;0,75;0,7276;-0,7632;1,4;0,4266
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 356;598643ca;-1,2366;12,6341;15,3386;0,5254;0,5333;0,5253;-0,3222;1,0053;0,408
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 46;e4b4a6e8;-1,6957;15,0926;16,8393;0,5932;0,625;0,592;-0,5338;1,1482;0,3913
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 56;05e45b6b;-1,946;14,7555;17,6036;0,5085;0,5246;0,508;-0,639;0,9778;0,2503
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 356;5f4b6a2a;-2,3821;16,072;18,8617;0,5593;0,5667;0,5592;-0,8301;1,0695;0,2147
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 245;85b16610;-3,7263;21,7028;22,2971;0,7288;0,7419;0,7282;-1,4127;1,3955;0,1318
LSTMv3.4 (40,[192, 128],0.05,96,0.00098) (YeoJohnson) (Standard) + 6;0adb24f8;-50,7239;66,7791;73,7618;0,4915;0,5;0,4914;-20,8112;0,9411;-8,8474
