Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) + 236;a165b35f;0,7684;3,6539;4,9355;0,4746;0,5231;0,473;0,9246;0,9321;0,9288
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) (MinMax) + 236;561c7563;0,7684;3,6539;4,9355;0,4746;0,5231;0,473;0,9246;0,9321;0,9288
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) (MinMax) + 23;f7e73f00;0,7674;3,6526;4,946;0,4746;0,5231;0,473;0,9237;0,9321;0,9283
SARIMAXv2.4 (1, 1, 0)(1, 0, 0, 5) (Log) + 23;7b0ddb44;0,7674;3,6526;4,946;0,4746;0,5231;0,473;0,9237;0,9321;0,9283
SARIMAXv2.4 (1, 1, 1)(1, 0, 0, 5) (Log) (MinMax) + 2346;d64209ec;0,7693;3,6164;4,9263;0,4746;0,5079;0,4736;0,9287;0,9233;0,9257
SARIMAXv2.4 (1, 1, 1)(1, 0, 0, 5) (Log) + 2346;6a4ed027;0,7693;3,6164;4,9263;0,4746;0,5079;0,4736;0,9287;0,9233;0,9257
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) + 36;002f929d;0,6813;4,0327;5,7902;0,5254;0,5484;0,5247;0,8151;1,0141;0,9245
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) (MinMax) + 36;addd358d;0,6812;4,0322;5,7906;0,5254;0,5484;0,5247;0,815;1,0141;0,9245
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) (Standard) + 36;b0ec4122;0,6813;4,0319;5,7904;0,5254;0,5484;0,5247;0,8151;1,0141;0,9245
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) (Standard) + 356;26a43200;0,6093;4,4547;6,4107;0,5593;0,5806;0,5586;0,7342;1,0776;0,9231
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) + 356;0129af61;0,6087;4,4565;6,4154;0,5593;0,5806;0,5586;0,7337;1,0776;0,9229
SARIMAXv2.4 (3, 1, 1)(1, 0, 0, 5) (YeoJohnson) (Standard) + 13456;c0451483;0,7719;3,6854;4,8988;0,4915;0,4643;0,4925;0,9258;0,9202;0,9227
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 356;3c094b9f;0,6082;4,4626;6,4201;0,5593;0,5806;0,5586;0,733;1,0776;0,9225
