Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 145 (Backtesting [5d]);1b7cb6bb;-0,3301;9,9471;11,8286;0,5763;0,5763;0,5764;0,1033;1,0976;0,6502
Transformerv3.4 (25,128,8,1,0.15,96,0.00013) (YeoJohnson) (Standard) + 1246 (Backtesting [5d]);71649512;-0,1186;8,9983;10,8474;0,5254;0,5333;0,5253;0,2136;1,0053;0,649
Transformerv3.4 (15,96,4,2,0.25,96,0.00053) (Log) (Standard) + 26 (Backtesting [5d]);8464d499;0,1664;7,0101;9,3643;0,4576;0,4286;0,4586;0,3875;0,8545;0,6444
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 1356 (Backtesting [5d]);88d41b76;0,0315;7,9861;10,0936;0,4746;0,4746;0,4747;0,3012;0,9039;0,6327
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1 (Backtesting [5d]);8cf7f708;-0,1322;8,8043;10,9133;0,5085;0,5246;0,508;0,2098;0,9778;0,6322
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 35 (Backtesting [5d]);31a3515f;-0,4449;9,6404;12,3284;0,5763;0,5763;0,5764;0,0545;1,0976;0,6282
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 1236 (Backtesting [5d]);8de536b9;-0,0954;9,4568;10,7342;0,4915;0,5312;0,4902;0,2187;0,9593;0,626
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 1246 (Backtesting [5d]);f3e00633;-0,0097;8,0358;10,306;0,4746;0,4746;0,4747;0,2803;0,9039;0,6233
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 2456 (Backtesting [5d]);675b8dbd;0,0478;7,9471;10,0081;0,4407;0,4923;0,4391;0,3099;0,8695;0,6176
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 156 (Backtesting [5d]);41f4d4d3;-0,0942;9,368;10,7285;0,4915;0,5;0,4914;0,2203;0,9411;0,6168
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 25 (Backtesting [5d]);5e6703fb;-0,0845;8,2243;10,6807;0,4746;0,5079;0,4736;0,2412;0,9233;0,6164
